year,uk_gdp
2021,2142738
2022,2230625
2023,2226067.103
2024,2265898.161
2025,2321564.431
2026,2370946.703
2027,2415517.257
2028,2458985.548
2029,2503939.628
2030,2550941.076
2031,2598061.108
2032,2645094.843
2033,2692348.901
2034,2739756.502
2035,2787478.975
2036,2838631.999
2037,2891061.397
2038,2943398.908
2039,2995685.337
2040,3047775.062
2041,3100770.537
2042,3153687.475
2043,3206417.025
2044,3258857.094
2045,3311090.127
2046,3363394.208
2047,3416066.902
2048,3468788.802
2049,3521405.504
2050,3573815.068
