year,emissions_gtco2,removals_gtco2
2026,19.42063231,0
2027,19.36948941,0
2028,19.28575462,0
2029,19.14926891,0
2030,18.9284115,0
2031,18.57519547,0
2032,18.02076549,0
2033,17.17554302,0
2034,15.94270229,0
2035,14.25564228,-1.00389464
2036,12.13795696,-1.297808125
2037,9.75,-1.671349974
2038,7.362043042,-2.141987007
2039,5.244357717,-2.728509478
2040,3.557297714,-3.449573269
2041,2.324456979,-4.321357242
2042,1.47923451,-5.354330774
2043,0.924804527,-6.549460473
2044,0.5715885,-7.89464901
2045,0.350731094,-9.362612169
2046,0.214245381,-10.91144725
2047,0.130510593,-12.48855275
2048,0.079367685,-14.03738783
2049,0.048216152,-15.50535099
2050,0.029273054,-16.85053953
2051,0,-18.04566923
2052,0,-19.07864276
2053,0,-19.95042673
2054,0,-20.67149052
2055,0,-21.25801299
2056,0,-21.72865003
2057,0,-22.10219188
2058,0,-22.39610536
2059,0,-22.62578811
2060,0,-22.80431904
