date,bioenergy_generation_twh,hydro_generation_twh,other_renewables_generation_twh,solar_generation_twh,wind_generation_twh
2000,3.88,5.09,0.0,0.0,0.94
2001,4.53,4.05,0.0,0.0,0.96
2002,5.08,4.79,0.0,0.0,1.25
2003,6.17,3.23,0.0,0.0,1.29
2004,7.36,4.84,0.0,0.0,1.94
2005,9.1,4.92,0.0,0.01,2.9
2006,9.28,4.59,0.0,0.01,4.22
2007,9.32,5.08,0.0,0.01,5.27
2008,9.65,5.14,0.0,0.02,7.13
2009,10.71,5.23,0.0,0.02,9.28
2010,12.26,3.59,0.0,0.04,10.29
2011,13.31,5.69,0.0,0.24,15.96
2012,14.74,5.31,0.0,1.35,19.84
2013,18.1,4.7,0.0,2.01,28.4
2014,22.62,5.89,0.0,4.05,31.95
2015,29.26,6.3,0.0,7.53,40.27
2016,30.07,5.37,0.0,10.41,37.16
2017,31.9,5.88,0.0,11.46,49.65
2018,35.11,5.44,0.01,12.67,56.91
2019,37.54,5.93,0.01,12.42,63.84
2020,38.58,6.88,,12.55,75.62
2021,40.01,5.42,,12.13,64.93
2022,35.85,5.66,,13.34,80.21
2023,34.1,5.54,,13.88,82.15
2024,40.09,5.76,,14.79,83.28
2025,41.21,5.55,,19.32,86.31
