scenario,sector,year,total_emissions,co2_emissions
Balanced Pathway,Agriculture,2025,47.04431879231096,7.11195142881007
Balanced Pathway,Agriculture,2026,46.55971791769261,7.023718730759533
Balanced Pathway,Agriculture,2027,44.91961444729086,6.56837380452751
Balanced Pathway,Agriculture,2028,43.08119057340664,6.107754047068191
Balanced Pathway,Agriculture,2029,41.07062128163186,5.640581135648146
Balanced Pathway,Agriculture,2030,39.2427769198489,5.176830072219891
Balanced Pathway,Agriculture,2031,37.46240643359306,4.819954797741994
Balanced Pathway,Agriculture,2032,35.79183758704355,4.463896837292482
Balanced Pathway,Agriculture,2033,34.30362690434493,4.116596727741165
Balanced Pathway,Agriculture,2034,32.97088627962682,3.77314366224367
Balanced Pathway,Agriculture,2035,31.88870113630172,3.430093892074354
Balanced Pathway,Agriculture,2036,31.30582464597946,3.116219661603278
Balanced Pathway,Agriculture,2037,30.85804840096916,2.802758170501625
Balanced Pathway,Agriculture,2038,30.32960145784595,2.489499473287159
Balanced Pathway,Agriculture,2039,29.78846069070192,2.176314463032735
Balanced Pathway,Agriculture,2040,29.24745296064348,1.863204831562803
Balanced Pathway,Agriculture,2041,28.9372814742712,1.804917014168791
Balanced Pathway,Agriculture,2042,28.52645035035353,1.74665634658448
Balanced Pathway,Agriculture,2043,28.22708686768913,1.688420161238338
Balanced Pathway,Agriculture,2044,27.92657749070909,1.630193354965281
Balanced Pathway,Agriculture,2045,27.62604337338858,1.572003315436226
Balanced Pathway,Agriculture,2046,27.37569122099639,1.562232204515042
Balanced Pathway,Agriculture,2047,27.12588924398758,1.552483057234836
Balanced Pathway,Agriculture,2048,26.87912952128276,1.54285338761824
Balanced Pathway,Agriculture,2049,26.63070678801907,1.533134803808428
Balanced Pathway,Agriculture,2050,26.38987159012214,1.524031830032308
Balanced Pathway,Aviation,2025,36.73092377300829,36.41693106698673
Balanced Pathway,Aviation,2026,35.82018879855322,35.51423624912584
Balanced Pathway,Aviation,2027,35.00742550819214,34.70893024921723
Balanced Pathway,Aviation,2028,34.00178520559492,33.71284523357664
Balanced Pathway,Aviation,2029,33.67295409587235,33.38754490125839
Balanced Pathway,Aviation,2030,33.49469016774837,33.21167610810286
Balanced Pathway,Aviation,2031,32.51765107111196,32.2445676931948
Balanced Pathway,Aviation,2032,31.98026143205675,31.71388757830032
Balanced Pathway,Aviation,2033,31.54017292637023,31.27932211828804
Balanced Pathway,Aviation,2034,31.15116485647634,30.89600687731529
Balanced Pathway,Aviation,2035,30.13455308348728,29.89100051346249
Balanced Pathway,Aviation,2036,30.04547641932908,29.80502798088056
Balanced Pathway,Aviation,2037,29.96476684818071,29.72742640000849
Balanced Pathway,Aviation,2038,29.6612303597675,29.42971764444973
Balanced Pathway,Aviation,2039,29.71971799127217,29.49097946843761
Balanced Pathway,Aviation,2040,29.53945662930248,29.31602496204097
Balanced Pathway,Aviation,2041,28.80931109424303,28.60007655299749
Balanced Pathway,Aviation,2042,27.91913517762153,27.72578687428328
Balanced Pathway,Aviation,2043,27.45474016880508,27.27373996335709
Balanced Pathway,Aviation,2044,26.90365477915237,26.73750382489026
Balanced Pathway,Aviation,2045,25.94155768732015,25.79614781431329
Balanced Pathway,Aviation,2046,25.44564450586888,25.31673961647436
Balanced Pathway,Aviation,2047,24.74520842183633,24.63621389966453
Balanced Pathway,Aviation,2048,24.16286024271848,24.07368980782465
Balanced Pathway,Aviation,2049,23.54229515901582,23.47545768393051
Balanced Pathway,Aviation,2050,22.66831879088747,22.62882756821037
Balanced Pathway,Electricity supply,2025,32.50725713374266,32.44196100652248
Balanced Pathway,Electricity supply,2026,29.83790830913824,29.77797400434832
Balanced Pathway,Electricity supply,2027,27.16855948453379,27.11398700217416
Balanced Pathway,Electricity supply,2028,24.49921065992936,24.45
Balanced Pathway,Electricity supply,2029,17.13942733489128,17.105
Balanced Pathway,Electricity supply,2030,9.77964400985319,9.759999999999998
Balanced Pathway,Electricity supply,2031,8.64235958862539,8.625
