year,series,emissions
2025,Balanced Pathway,57.78316852164051
2026,Balanced Pathway,54.45539693891939
2027,Balanced Pathway,50.63151184634729
2028,Balanced Pathway,46.34094704478838
2029,Balanced Pathway,42.21366028466375
2030,Balanced Pathway,37.74955531514529
2031,Balanced Pathway,33.55374386510152
2032,Balanced Pathway,29.58317003611933
2033,Balanced Pathway,25.9401847188125
2034,Balanced Pathway,22.50633563811974
2035,Balanced Pathway,19.35513381660141
2036,Balanced Pathway,16.49448792930173
2037,Balanced Pathway,13.942387317381
2038,Balanced Pathway,11.6682869664681
2039,Balanced Pathway,9.623824078431596
2040,Balanced Pathway,7.761310860276396
2041,Balanced Pathway,6.087325943067576
2042,Balanced Pathway,4.688102228476133
2043,Balanced Pathway,3.53979981044148
2044,Balanced Pathway,2.625845389877426
2045,Balanced Pathway,1.901733997744429
2046,Balanced Pathway,1.358708594401989
2047,Balanced Pathway,0.9731977869574706
2048,Balanced Pathway,0.7056359199421962
2049,Balanced Pathway,0.5190970696940411
2050,Balanced Pathway,0.3928439405960233
2008,Historical,75.88513818491346
2009,Historical,73.6381325332227
2010,Historical,71.53796533557289
2011,Historical,70.79627052031508
2012,Historical,70.34110913714444
2013,Historical,69.60390551236841
2014,Historical,70.04102199311072
2015,Historical,70.92696005698605
2016,Historical,72.09938493043745
2017,Historical,72.09817792311547
2018,Historical,70.74471657008483
2019,Historical,69.88784068560844
2020,Historical,52.04792193748955
2021,Historical,57.4416938210417
2022,Historical,59.559188178406245
2023,Historical,60.142469272440806
2024,Historical,59.95379833034536
2025,Historical,57.78316852164051
