year,series,emissions
2025,Balanced Pathway,17.68292191431999
2026,Balanced Pathway,16.62807740740404
2027,Balanced Pathway,15.83611371686601
2028,Balanced Pathway,14.9609390930553
2029,Balanced Pathway,14.34970207545904
2030,Balanced Pathway,13.92225344838217
2031,Balanced Pathway,13.36640016534804
2032,Balanced Pathway,12.53366370652153
2033,Balanced Pathway,11.57285163074383
2034,Balanced Pathway,10.37855548061369
2035,Balanced Pathway,9.066952559709302
2036,Balanced Pathway,7.760515428964753
2037,Balanced Pathway,6.510834027964901
2038,Balanced Pathway,5.314962077576123
2039,Balanced Pathway,4.214050106985642
2040,Balanced Pathway,3.224914486323401
2041,Balanced Pathway,2.424397858034052
2042,Balanced Pathway,1.77760826142708
2043,Balanced Pathway,1.27220851086485
2044,Balanced Pathway,0.8948130426895204
2045,Balanced Pathway,0.6354462917167183
2046,Balanced Pathway,0.4605037425835583
2047,Balanced Pathway,0.3400360306567656
2048,Balanced Pathway,0.2585615297886683
2049,Balanced Pathway,0.2103074689566817
2050,Balanced Pathway,0.1855008794666411
2008,Historical,20.67916517659584
2009,Historical,18.992347316975398
2010,Historical,19.44816881725851
2011,Historical,18.948259404516406
2012,Historical,18.651118670019258
2013,Historical,18.69585350413458
2014,Historical,19.103868655760063
2015,Historical,19.836486535767797
2016,Historical,20.309382976175762
2017,Historical,20.43608554864714
2018,Historical,20.440380613786754
2019,Historical,19.977231959404758
2020,Historical,19.083034122891824
2021,Historical,20.819998899236367
2022,Historical,19.737908984638796
2023,Historical,19.15080895146451
2024,Historical,18.36427305916693
2025,Historical,17.68292191431999
