year,series,emissions
2025,Balanced Pathway,3.691833313811159
2026,Balanced Pathway,3.4194161454607603
2027,Balanced Pathway,3.2301357466139122
2028,Balanced Pathway,3.0295007859762584
2029,Balanced Pathway,2.8117679144804963
2030,Balanced Pathway,2.612904382006745
2031,Balanced Pathway,2.4138745848231515
2032,Balanced Pathway,2.2357240572876593
2033,Balanced Pathway,2.026723346605042
2034,Balanced Pathway,1.8155211147112698
2035,Balanced Pathway,1.6084025235083934
2036,Balanced Pathway,1.4161639537165183
2037,Balanced Pathway,1.2358634538544933
2038,Balanced Pathway,1.0651174036680828
2039,Balanced Pathway,0.8961589892659834
2040,Balanced Pathway,0.7352238105465043
2041,Balanced Pathway,0.5982684497060594
2042,Balanced Pathway,0.47710152641916775
2043,Balanced Pathway,0.37309457329487977
2044,Balanced Pathway,0.2836410813895839
2045,Balanced Pathway,0.21231537556064053
2046,Balanced Pathway,0.15739231645439009
2047,Balanced Pathway,0.11547848625173224
2048,Balanced Pathway,0.08547591968045426
2049,Balanced Pathway,0.0677137214251542
2050,Balanced Pathway,0.060547491881465354
2008,Historical,6.530303652679621
2009,Historical,6.5419507084263016
2010,Historical,6.428050260680857
2011,Historical,6.077061559480422
2012,Historical,5.979271169850678
2013,Historical,5.614221829696495
2014,Historical,5.6660045852618985
2015,Historical,5.581444210694216
2016,Historical,5.4756241949034665
2017,Historical,5.231139134913499
2018,Historical,5.062087690217743
2019,Historical,4.907957537928631
2020,Historical,3.382442867494574
2021,Historical,3.7138171120750307
2022,Historical,4.244145475576771
2023,Historical,4.220024730375786
2024,Historical,3.9386804026964293
2025,Historical,3.691833313811159
