year,series,emissions
2025,Balanced Pathway,1.417665321156953
2026,Balanced Pathway,1.403023101896604
2027,Balanced Pathway,1.385959797322405
2028,Balanced Pathway,1.367004357107563
2029,Balanced Pathway,1.346325448688325
2030,Balanced Pathway,1.258690177586808
2031,Balanced Pathway,1.23546723829856
2032,Balanced Pathway,1.210999390325519
2033,Balanced Pathway,1.185157907371215
2034,Balanced Pathway,1.158340193619805
2035,Balanced Pathway,0.5581977003632972
2036,Balanced Pathway,0.537459679675397
2037,Balanced Pathway,0.5162809934127579
2038,Balanced Pathway,0.4945177785339783
2039,Balanced Pathway,0.4722486036233047
2040,Balanced Pathway,0.2902715287029365
2041,Balanced Pathway,0.2804333462499788
2042,Balanced Pathway,0.2705226139353176
2043,Balanced Pathway,0.2605660173302149
2044,Balanced Pathway,0.2507198754977706
2045,Balanced Pathway,0.2435562383669887
2046,Balanced Pathway,0.2336287704056403
2047,Balanced Pathway,0.2237307210233879
2048,Balanced Pathway,0.2138821707276701
2049,Balanced Pathway,0.2041020028863252
2050,Balanced Pathway,0.1970694438938732
2008,Historical,1.9917842304333222
2009,Historical,1.9829714137124381
2010,Historical,1.9947141392849794
2011,Historical,1.9006917491445123
2012,Historical,1.954718229069299
2013,Historical,1.9535695981268615
2014,Historical,1.9913320268256791
2015,Historical,1.9293771734494685
2016,Historical,1.9101530747049267
2017,Historical,1.8823099211803351
2018,Historical,1.7806198017104506
2019,Historical,1.8521888402413285
2020,Historical,1.4416048813366695
2021,Historical,1.5680294958260406
2022,Historical,1.5060604911472626
2023,Historical,1.2321036913069217
2024,Historical,1.324884506231937
2025,Historical,1.417665321156953
