year,series,emissions
2025,Balanced Pathway,18.54713757212656
2026,Balanced Pathway,18.09953837352445
2027,Balanced Pathway,17.38457583430145
2028,Balanced Pathway,16.26477576668582
2029,Balanced Pathway,14.82089474035085
2030,Balanced Pathway,13.00749193615093
2031,Balanced Pathway,11.4341797871445
2032,Balanced Pathway,9.93183181980508
2033,Balanced Pathway,8.627351876833
2034,Balanced Pathway,7.435567297538688
2035,Balanced Pathway,6.393925114535822
2036,Balanced Pathway,5.497289279975252
2037,Balanced Pathway,4.714188468012427
2038,Balanced Pathway,4.022481612414534
2039,Balanced Pathway,3.413674493693037
2040,Balanced Pathway,2.852064962445294
2041,Balanced Pathway,2.300483057422195
2042,Balanced Pathway,1.82460636536597
2043,Balanced Pathway,1.42454360831055
2044,Balanced Pathway,1.094394718697519
2045,Balanced Pathway,0.8277877201719832
2046,Balanced Pathway,0.6247294995151336
2047,Balanced Pathway,0.47812824776166
2048,Balanced Pathway,0.3717847341450593
2049,Balanced Pathway,0.2932396717738648
2050,Balanced Pathway,0.2342384803634623
2008,Historical,14.898683438562061
2009,Historical,14.649908674856022
2010,Historical,15.027747909115954
2011,Historical,15.074414690729633
2012,Historical,15.466610919273716
2013,Historical,15.592022609623232
2014,Historical,16.310937291338387
2015,Historical,17.125571544570704
2016,Historical,18.353666279229948
2017,Historical,18.558366670651697
2018,Historical,18.567061547714154
2019,Historical,18.159893062017005
2020,Historical,16.47534500946183
2021,Historical,18.62598073619805
2022,Historical,18.627586275357643
2023,Historical,18.04708502155893
2024,Historical,18.18255061506933
2025,Historical,18.54713757212656
