year,total_emissions,co2_emissions
2025,36.73092377300829,36.41693106698673
2026,35.82018879855322,35.51423624912584
2027,35.00742550819214,34.70893024921723
2028,34.00178520559492,33.71284523357664
2029,33.67295409587235,33.38754490125839
2030,33.49469016774837,33.21167610810286
2031,32.51765107111196,32.2445676931948
2032,31.98026143205675,31.71388757830032
2033,31.54017292637023,31.27932211828804
2034,31.15116485647634,30.89600687731529
2035,30.13455308348728,29.89100051346249
2036,30.04547641932908,29.80502798088056
2037,29.96476684818071,29.72742640000849
2038,29.6612303597675,29.42971764444973
2039,29.71971799127217,29.49097946843761
2040,29.53945662930248,29.31602496204097
2041,28.80931109424303,28.60007655299749
2042,27.91913517762153,27.72578687428328
2043,27.45474016880508,27.27373996335709
2044,26.90365477915237,26.73750382489026
2045,25.94155768732015,25.79614781431329
2046,25.44564450586888,25.31673961647436
2047,24.74520842183633,24.63621389966453
2048,24.16286024271848,24.07368980782465
2049,23.54229515901582,23.47545768393051
2050,22.66831879088747,22.62882756821037
