archetype_number,region,country,property_type,age_band,tenure,heating_system,floor_area,stock,space_heating_demand,space_heating_fuel,space_heating_co2,solar_pv,fuel_poverty,hot_water_tank
1,South England,England,Flat,Pre 1930,Private rented,Electric storage,51.41,7267,5884,5884,0.0,0,0,1
2,South England,England,End terrace,Pre 1930,Owner occupied,Electric boiler,84.49,1775,11680,11680,0.0,0,0,1
3,South England,England,Flat,1930 to mid 1970s,Private rented,Electric resistive,48.83,2150,4067,4067,0.0,0,0,1
4,South England,England,Flat,Mid 1970s to mid 1990s,Private rented,Electric resistive,52.91,633,2980,2980,0.0,0,1,1
5,South England,England,Flat,Mid 1990s to present,Private rented,Electric resistive,56.27,471,3252,3252,0.0,0,1,1
6,South West England,England,End terrace,Pre 1930,Owner occupied,Electric resistive,96.01,2475,14516,14516,0.0,0,0,1
7,Wales,Wales,Bungalow,Mid 1970s to mid 1990s,Owner occupied,Electric storage,74.69,1778,8659,8659,0.0,0,0,1
8,Wales,Wales,Flat,Mid 1990s to present,Owner occupied,Electric storage,56.05,349,2617,2617,0.0,0,0,1
9,North England,England,Semi-detached,Mid 1990s to present,Owner occupied,Gas boiler,68.73,608,3899,4642,853.81,0,0,0
10,South England,England,Semi-detached,1930 to mid 1970s,Social rented,Gas boiler,102.75,2027,6061,7215,1327.29,0,0,0
11,Wales,Wales,Detached,Pre 1930,Owner occupied,GSHP,214.8,208,29272,11258,0.0,0,0,0
12,South England,England,Semi-detached,Pre 1930,Owner occupied,Biofuel boiler,102.56,1891,14179,21814,234.28,0,0,1
13,South West England,England,Detached,Pre 1930,Owner occupied,Biofuel boiler,180.78,1425,21698,33381,358.52,0,0,1
14,South England,England,High rise flat,Mid 1990s to present,Owner occupied,ASHP,72.96,766,1929,881,0.0,0,0,1
15,South England,England,Flat,Mid 1990s to present,Private rented,ASHP,64.99,3614,2285,1043,0.0,0,0,1
16,South England,England,Flat,Mid 1990s to present,Owner occupied,ASHP,69.85,912,2335,1066,0.0,0,0,1
17,South England,England,Detached,Pre 1930,Owner occupied,GSHP,345.53,496,46468,17872,0.0,0,0,0
18,South England,England,Flat,1930 to mid 1970s,Social rented,Gas boiler,46.29,548,2193,2611,480.21,0,0,0
19,Midlands/Northern England,England,Detached,Pre 1930,Owner occupied,ASHP,209.74,748,26138,11935,0.0,0,0,0
20,South England,England,Semi-detached,Pre 1930,Owner occupied,ASHP,128.04,480,13304,6075,0.0,0,0,0
21,North England,England,Bungalow,1930 to mid 1970s,Social rented,Gas boiler,49.46,1406,4633,5516,1014.67,0,0,0
22,South England,England,Bungalow,1930 to mid 1970s,Owner occupied,Electric boiler,82.11,2390,7576,7576,0.0,0,0,1
23,South England,England,Detached,1930 to mid 1970s,Owner occupied,Electric boiler,154.43,726,18418,18418,0.0,0,0,1
24,South England,England,Terrace,1930 to mid 1970s,Owner occupied,Electric boiler,87.92,722,8430,8430,0.0,0,0,1
25,South England,England,Terrace,Mid 1990s to present,Owner occupied,Electric boiler,85.04,1138,3968,3968,0.0,0,0,1
26,South England,England,Flat,1930 to mid 1970s,Social rented,Gas boiler,45.74,1892,3539,4213,774.93,0,1,0
27,South England,England,Flat,Mid 1990s to present,Owner occupied,Electric boiler,57.27,3877,2154,2154,0.0,0,0,1
28,South England,England,Bungalow,1930 to mid 1970s,Owner occupied,Gas boiler,92.97,6133,6978,8307,1527.99,0,0,0
29,South England,England,Bungalow,Mid 1990s to present,Owner occupied,Gas boiler,145.94,849,6887,8198,1508.07,0,0,0
30,North Scotland,Scotland,Detached,Pre 1930,Owner occupied,Gas boiler,151.54,2181,19731,23489,4320.76,0,0,0
31,South England,England,Flat,1930 to mid 1970s,Social rented,Communal gas,40.55,1309,1828,2285,420.35,0,0,1
32,South England,England,End terrace,Pre 1930,Owner occupied,Gas boiler,71.93,1368,9690,11536,2122.03,0,0,1
33,South England,England,Flat,Pre 1930,Private rented,Communal gas,27.9,812,1678,2098,385.85,0,0,1
34,South England,England,Flat,Mid 1990s to present,Owner occupied,Electric resistive,55.36,3988,1890,1890,0.0,0,0,1
35,South England,England,Flat,Pre 1930,Owner occupied,Gas boiler,66.47,2090,6044,7195,1323.52,0,0,0
36,South England,England,Flat,Mid 1990s to present,Private rented,Electric resistive,43.41,1192,914,914,0.0,0,0,1
37,South England,England,Flat,Pre 1930,Private rented,Gas boiler,46.21,3237,4550,5416,996.32,0,1,0
38,South England,England,Terrace,1930 to mid 1970s,Social rented,Gas boiler,78.53,1147,5036,5995,1102.74,0,0,0
39,North England,England,Semi-detached,1930 to mid 1970s,Owner occupied,Gas boiler,104.37,2065,7896,9400,1729.09,0,0,0
40,South England,England,Flat,Mid 1990s to present,Private rented,Electric resistive,58.9,2068,2105,2105,0.0,0,0,1
41,South England,England,Flat,Pre 1930,Private rented,Electric resistive,29.04,295,2312,2312,0.0,0,0,0
42,South England,England,Flat,1930 to mid 1970s,Private rented,Gas boiler,63.41,5104,3522,4192,771.17,0,0,0
43,South West England,England,Flat,Pre 1930,Private rented,Electric resistive,46.35,2121,3995,3995,0.0,0,0,1
44,South England,England,Flat,Pre 1930,Private rented,Electric resistive,42.44,5328,4127,4127,0.0,0,0,1
45,South England,England,Detached,Mid 1990s to present,Social rented,Gas boiler,102.8,1680,3982,4740,872.01,0,0,1
46,Wales,Wales,Flat,Mid 1990s to present,Private rented,Electric resistive,46.85,308,1773,1773,0.0,0,0,1
47,South England,England,Terrace,1930 to mid 1970s,Owner occupied,Gas boiler,77.8,1181,4245,5054,929.71,0,0,0
48,South England,England,Flat,Mid 1970s to mid 1990s,Social rented,Gas boiler,79.25,858,2463,2932,539.32,0,0,0
49,Wales,Wales,Detached,Mid 1990s to present,Owner occupied,Electric resistive,132.94,463,10424,10424,0.0,0,0,1
50,Midlands/Northern England,England,Terrace,Pre 1930,Private rented,Gas boiler,71.41,554,4319,5141,945.77,0,0,0
51,Wales,Wales,Flat,Mid 1990s to present,Owner occupied,Electric resistive,54.01,448,1748,1748,0.0,0,0,1
52,South England,England,Flat,Mid 1970s to mid 1990s,Private rented,Gas boiler,62.56,1526,3079,3666,674.31,0,0,1
53,South England,England,Flat,1930 to mid 1970s,Social rented,Gas boiler,63.59,9753,2866,3412,627.58,0,0,0
54,Wales,Wales,Flat,Mid 1970s to mid 1990s,Social rented,Electric storage,52.42,2539,3818,3818,0.0,0,0,1
55,Wales,Wales,High rise flat,Mid 1990s to present,Private rented,Electric resistive,62.08,1157,1828,1828,0.0,0,0,1
56,Wales,Wales,Flat,Mid 1990s to present,Private rented,Electric resistive,60.35,664,1731,1731,0.0,0,0,1
57,Wales,Wales,High rise flat,Mid 1990s to present,Private rented,Electric resistive,59.83,786,1127,1127,0.0,0,0,1
58,North Scotland,Scotland,Flat,1930 to mid 1970s,Social rented,Electric storage,59.54,306,7927,7927,0.0,0,1,1
59,Wales,Wales,Detached,Pre 1930,Owner occupied,Electric storage,135.89,526,23573,23573,0.0,0,0,1
60,Wales,Wales,Terrace,Pre 1930,Owner occupied,Electric storage,70.31,354,9236,9236,0.0,0,0,1
61,Wales,Wales,Detached,Pre 1930,Owner occupied,Electric storage,124.65,2500,23790,23790,0.0,0,1,1
62,Wales,Wales,Detached,Pre 1930,Owner occupied,Electric storage,161.76,6132,31617,31617,0.0,0,1,1
63,Wales,Wales,Terrace,Pre 1930,Owner occupied,Electric storage,79.86,1281,12495,12495,0.0,0,1,1
64,Wales,Wales,Terrace,Pre 1930,Owner occupied,Electric storage,85.45,1205,15486,15486,0.0,0,0,1
65,Wales,Wales,Semi-detached,Pre 1930,Owner occupied,Electric storage,117.84,993,23216,23216,0.0,0,1,1
66,Wales,Wales,Semi-detached,Pre 1930,Owner occupied,Electric storage,94.54,1159,16538,16538,0.0,0,1,1
67,South England,England,Flat,Mid 1970s to mid 1990s,Social rented,Communal gas,39.58,595,1527,1909,351.13,0,0,1
68,Midlands/Northern England,England,Flat,Mid 1990s to present,Social rented,Communal gas,44.74,650,1233,1542,283.62,0,0,1
